0,- Alias -,- Group -,- Encoding -,"#S = immediate (I=1). S = register.
#D = immediate (L=1). D = register.

- Assembly Syntax -","* Z = (result == 0).
** If #S and cogex, PC += signed(S). If #S and hubex, PC += signed(S*4). If S, PC = register S.

- Description -","8-Cog Timing
* +1 if crosses hub long

- Cogex Cycles -","8-Cog Timing
* +1 if crosses hub long

- Hubex Cycles -","16-Cog Timing
* +1 if crosses hub long

- Cogex Cycles -","16-Cog Timing
* +1 if crosses hub long

- Hubex Cycles -","* Data not forwarded.

- Register Write -",- Hub R/W -,- Stack R/W -,"CF/ZF are local bits
Dv = variable to write

- Spin Methods -"
1,.,Miscellaneous,0000 0000000 000 000000000 000000000,NOP,No operation.,2,same,2,same,,,,
2,.,Math and Logic,EEEE 0000000 CZI DDDDDDDDD SSSSSSSSS,"ROR     D,{#}S   {WC/WZ/WCZ}","Rotate right.           D = [31:0]  of ({D[31:0], D[31:0]}     >> S[4:0]). C = last bit shifted out if S[4:0] > 0, else D[0].  *",2,same,2,same,D,,,"ROR_(Dv,S)"
3,.,Math and Logic,EEEE 0000001 CZI DDDDDDDDD SSSSSSSSS,"ROL     D,{#}S   {WC/WZ/WCZ}","Rotate left.            D = [63:32] of ({D[31:0], D[31:0]}     << S[4:0]). C = last bit shifted out if S[4:0] > 0, else D[31]. *",2,same,2,same,D,,,"ROL_(Dv,S)"
4,.,Math and Logic,EEEE 0000010 CZI DDDDDDDDD SSSSSSSSS,"SHR     D,{#}S   {WC/WZ/WCZ}","Shift right.            D = [31:0]  of ({32'b0, D[31:0]}       >> S[4:0]). C = last bit shifted out if S[4:0] > 0, else D[0].  *",2,same,2,same,D,,,"SHR_(Dv,S)"
5,.,Math and Logic,EEEE 0000011 CZI DDDDDDDDD SSSSSSSSS,"SHL     D,{#}S   {WC/WZ/WCZ}","Shift left.             D = [63:32] of ({D[31:0], 32'b0}       << S[4:0]). C = last bit shifted out if S[4:0] > 0, else D[31]. *",2,same,2,same,D,,,"SHL_(Dv,S)"
6,.,Math and Logic,EEEE 0000100 CZI DDDDDDDDD SSSSSSSSS,"RCR     D,{#}S   {WC/WZ/WCZ}","Rotate carry right.     D = [31:0]  of ({{32{C}}, D[31:0]}     >> S[4:0]). C = last bit shifted out if S[4:0] > 0, else D[0].  *",2,same,2,same,D,,,"RCR_(Dv,S)"
7,.,Math and Logic,EEEE 0000101 CZI DDDDDDDDD SSSSSSSSS,"RCL     D,{#}S   {WC/WZ/WCZ}","Rotate carry left.      D = [63:32] of ({D[31:0], {32{C}}}     << S[4:0]). C = last bit shifted out if S[4:0] > 0, else D[31]. *",2,same,2,same,D,,,"RCL_(Dv,S)"
8,.,Math and Logic,EEEE 0000110 CZI DDDDDDDDD SSSSSSSSS,"SAR     D,{#}S   {WC/WZ/WCZ}","Shift arithmetic right. D = [31:0]  of ({{32{D[31]}}, D[31:0]} >> S[4:0]). C = last bit shifted out if S[4:0] > 0, else D[0].  *",2,same,2,same,D,,,"SAR_(Dv,S)"
9,.,Math and Logic,EEEE 0000111 CZI DDDDDDDDD SSSSSSSSS,"SAL     D,{#}S   {WC/WZ/WCZ}","Shift arithmetic left.  D = [63:32] of ({D[31:0], {32{D[0]}}}  << S[4:0]). C = last bit shifted out if S[4:0] > 0, else D[31]. *",2,same,2,same,D,,,"SAL_(Dv,S)"
10,.,Math and Logic,EEEE 0001000 CZI DDDDDDDDD SSSSSSSSS,"ADD     D,{#}S   {WC/WZ/WCZ}",Add S into D.                                  D = D + S.        C = carry of (D + S).               *,2,same,2,same,D,,,"ADD_(Dv,S)"
11,.,Math and Logic,EEEE 0001001 CZI DDDDDDDDD SSSSSSSSS,"ADDX    D,{#}S   {WC/WZ/WCZ}","Add (S + C) into D, extended.                  D = D + S + C.    C = carry of (D + S + C).           Z = Z AND (result == 0).",2,same,2,same,D,,,"ADDX_(Dv,S)"
12,.,Math and Logic,EEEE 0001010 CZI DDDDDDDDD SSSSSSSSS,"ADDS    D,{#}S   {WC/WZ/WCZ}","Add S into D, signed.                          D = D + S.        C = correct sign of (D + S).        *",2,same,2,same,D,,,"ADDS_(Dv,S)"
13,.,Math and Logic,EEEE 0001011 CZI DDDDDDDDD SSSSSSSSS,"ADDSX   D,{#}S   {WC/WZ/WCZ}","Add (S + C) into D, signed and extended.       D = D + S + C.    C = correct sign of (D + S + C).    Z = Z AND (result == 0).",2,same,2,same,D,,,"ADDSX_(Dv,S)"
14,.,Math and Logic,EEEE 0001100 CZI DDDDDDDDD SSSSSSSSS,"SUB     D,{#}S   {WC/WZ/WCZ}",Subtract S from D.                             D = D - S.        C = borrow of (D - S).              *,2,same,2,same,D,,,"SUB_(Dv,S)"
15,.,Math and Logic,EEEE 0001101 CZI DDDDDDDDD SSSSSSSSS,"SUBX    D,{#}S   {WC/WZ/WCZ}","Subtract (S + C) from D, extended.             D = D - (S + C).  C = borrow of (D - (S + C)).        Z = Z AND (result == 0).",2,same,2,same,D,,,"SUBX_(Dv,S)"
16,.,Math and Logic,EEEE 0001110 CZI DDDDDDDDD SSSSSSSSS,"SUBS    D,{#}S   {WC/WZ/WCZ}","Subtract S from D, signed.                     D = D - S.        C = correct sign of (D - S).        *",2,same,2,same,D,,,"SUBS_(Dv,S)"
17,.,Math and Logic,EEEE 0001111 CZI DDDDDDDDD SSSSSSSSS,"SUBSX   D,{#}S   {WC/WZ/WCZ}","Subtract (S + C) from D, signed and extended.  D = D - (S + C).  C = correct sign of (D - (S + C)).  Z = Z AND (result == 0).",2,same,2,same,D,,,"SUBSX_(Dv,S)"
18,.,Math and Logic,EEEE 0010000 CZI DDDDDDDDD SSSSSSSSS,"CMP     D,{#}S   {WC/WZ/WCZ}",Compare D to S.                                                  C = borrow of (D - S).              Z = (D == S).,2,same,2,same,,,,"CMP_(D,S)"
19,.,Math and Logic,EEEE 0010001 CZI DDDDDDDDD SSSSSSSSS,"CMPX    D,{#}S   {WC/WZ/WCZ}","Compare D to (S + C), extended.                                  C = borrow of (D - (S + C)).        Z = Z AND (D == S + C).",2,same,2,same,,,,"CMPX_(D,S)"
20,.,Math and Logic,EEEE 0010010 CZI DDDDDDDDD SSSSSSSSS,"CMPS    D,{#}S   {WC/WZ/WCZ}","Compare D to S, signed.                                          C = correct sign of (D - S).        Z = (D == S).",2,same,2,same,,,,"CMPS_(D,S)"
21,.,Math and Logic,EEEE 0010011 CZI DDDDDDDDD SSSSSSSSS,"CMPSX   D,{#}S   {WC/WZ/WCZ}","Compare D to (S + C), signed and extended.                       C = correct sign of (D - (S + C)).  Z = Z AND (D == S + C).",2,same,2,same,,,,"CMPSX_(D,S)"
22,.,Math and Logic,EEEE 0010100 CZI DDDDDDDDD SSSSSSSSS,"CMPR    D,{#}S   {WC/WZ/WCZ}",Compare S to D (reverse).                                        C = borrow of (S - D).              Z = (D == S).,2,same,2,same,,,,"CMPR_(D,S)"
23,.,Math and Logic,EEEE 0010101 CZI DDDDDDDDD SSSSSSSSS,"CMPM    D,{#}S   {WC/WZ/WCZ}","Compare D to S, get MSB of difference into C.                    C = MSB of (D - S).                 Z = (D == S).",2,same,2,same,,,,"CMPM_(D,S)"
24,.,Math and Logic,EEEE 0010110 CZI DDDDDDDDD SSSSSSSSS,"SUBR    D,{#}S   {WC/WZ/WCZ}",Subtract D from S (reverse).                   D = S - D.        C = borrow of (S - D).              *,2,same,2,same,D,,,"SUBR_(Dv,S)"
25,.,Math and Logic,EEEE 0010111 CZI DDDDDDDDD SSSSSSSSS,"CMPSUB  D,{#}S   {WC/WZ/WCZ}","Compare and subtract S from D if D >= S. If D => S then D = D - S and C = 1, else D same and C = 0.  *",2,same,2,same,D,,,"CMPSUB_(Dv,S)"
26,.,Math and Logic,EEEE 0011000 CZI DDDDDDDDD SSSSSSSSS,"FGE     D,{#}S   {WC/WZ/WCZ}","Force D >= S. If D < S then D = S and C = 1, else D same and C = 0. *",2,same,2,same,D,,,"FGE_(Dv,S)"
27,.,Math and Logic,EEEE 0011001 CZI DDDDDDDDD SSSSSSSSS,"FLE     D,{#}S   {WC/WZ/WCZ}","Force D <= S. If D > S then D = S and C = 1, else D same and C = 0. *",2,same,2,same,D,,,"FLE_(Dv,S)"
28,.,Math and Logic,EEEE 0011010 CZI DDDDDDDDD SSSSSSSSS,"FGES    D,{#}S   {WC/WZ/WCZ}","Force D >= S, signed. If D < S then D = S and C = 1, else D same and C = 0. *",2,same,2,same,D,,,"FGES_(Dv,S)"
29,.,Math and Logic,EEEE 0011011 CZI DDDDDDDDD SSSSSSSSS,"FLES    D,{#}S   {WC/WZ/WCZ}","Force D <= S, signed. If D > S then D = S and C = 1, else D same and C = 0. *",2,same,2,same,D,,,"FLES_(Dv,S)"
30,.,Math and Logic,EEEE 0011100 CZI DDDDDDDDD SSSSSSSSS,"SUMC    D,{#}S   {WC/WZ/WCZ}","Sum +/-S into D by  C. If C = 1 then D = D - S, else D = D + S. C = correct sign of (D +/- S). *",2,same,2,same,D,,,"SUMC_(Dv,S)"
31,.,Math and Logic,EEEE 0011101 CZI DDDDDDDDD SSSSSSSSS,"SUMNC   D,{#}S   {WC/WZ/WCZ}","Sum +/-S into D by !C. If C = 0 then D = D - S, else D = D + S. C = correct sign of (D +/- S). *",2,same,2,same,D,,,"SUMNC_(Dv,S)"
32,.,Math and Logic,EEEE 0011110 CZI DDDDDDDDD SSSSSSSSS,"SUMZ    D,{#}S   {WC/WZ/WCZ}","Sum +/-S into D by  Z. If Z = 1 then D = D - S, else D = D + S. C = correct sign of (D +/- S). *",2,same,2,same,D,,,"SUMZ_(Dv,S)"
33,.,Math and Logic,EEEE 0011111 CZI DDDDDDDDD SSSSSSSSS,"SUMNZ   D,{#}S   {WC/WZ/WCZ}","Sum +/-S into D by !Z. If Z = 0 then D = D - S, else D = D + S. C = correct sign of (D +/- S). *",2,same,2,same,D,,,"SUMNZ_(Dv,S)"
34,.,Math and Logic,EEEE 0100000 CZI DDDDDDDDD SSSSSSSSS,"TESTB   D,{#}S         WC/WZ","Test bit S[4:0] of  D, write to C/Z. C/Z =          D[S[4:0]].",2,same,2,same,,,,"TESTB_(D,S,WC/WZ)"
35,.,Math and Logic,EEEE 0100001 CZI DDDDDDDDD SSSSSSSSS,"TESTBN  D,{#}S         WC/WZ","Test bit S[4:0] of !D, write to C/Z. C/Z =         !D[S[4:0]].",2,same,2,same,,,,"TESTBN_(D,S,WC/WZ)"
36,.,Math and Logic,EEEE 0100010 CZI DDDDDDDDD SSSSSSSSS,"TESTB   D,{#}S     ANDC/ANDZ","Test bit S[4:0] of  D, AND into C/Z. C/Z = C/Z AND  D[S[4:0]].",2,same,2,same,,,,"TESTB_(D,S,ANDC/ANDZ)"
37,.,Math and Logic,EEEE 0100011 CZI DDDDDDDDD SSSSSSSSS,"TESTBN  D,{#}S     ANDC/ANDZ","Test bit S[4:0] of !D, AND into C/Z. C/Z = C/Z AND !D[S[4:0]].",2,same,2,same,,,,"TESTBN_(D,S,ANDC/ANDZ)"
38,.,Math and Logic,EEEE 0100100 CZI DDDDDDDDD SSSSSSSSS,"TESTB   D,{#}S       ORC/ORZ","Test bit S[4:0] of  D, OR  into C/Z. C/Z = C/Z OR   D[S[4:0]].",2,same,2,same,,,,"TESTB_(D,S,ORC/ORZ)"
39,.,Math and Logic,EEEE 0100101 CZI DDDDDDDDD SSSSSSSSS,"TESTBN  D,{#}S       ORC/ORZ","Test bit S[4:0] of !D, OR  into C/Z. C/Z = C/Z OR  !D[S[4:0]].",2,same,2,same,,,,"TESTBN_(D,S,ORC/ORZ)"
40,.,Math and Logic,EEEE 0100110 CZI DDDDDDDDD SSSSSSSSS,"TESTB   D,{#}S     XORC/XORZ","Test bit S[4:0] of  D, XOR into C/Z. C/Z = C/Z XOR  D[S[4:0]].",2,same,2,same,,,,"TESTB_(D,S,XORC/XORZ)"
41,.,Math and Logic,EEEE 0100111 CZI DDDDDDDDD SSSSSSSSS,"TESTBN  D,{#}S     XORC/XORZ","Test bit S[4:0] of !D, XOR into C/Z. C/Z = C/Z XOR !D[S[4:0]].",2,same,2,same,,,,"TESTBN_(D,S,XORC/XORZ)"
42,.,Math and Logic,EEEE 0100000 CZI DDDDDDDDD SSSSSSSSS,"BITL    D,{#}S         {WCZ}","Bit S[4:0] of D = 0,    C,Z = D[S[4:0]].",2,same,2,same,D,,,"BITL_(Dv,S)"
43,.,Math and Logic,EEEE 0100001 CZI DDDDDDDDD SSSSSSSSS,"BITH    D,{#}S         {WCZ}","Bit S[4:0] of D = 1,    C,Z = D[S[4:0]].",2,same,2,same,D,,,"BITH_(Dv,S)"
44,.,Math and Logic,EEEE 0100010 CZI DDDDDDDDD SSSSSSSSS,"BITC    D,{#}S         {WCZ}","Bit S[4:0] of D = C,    C,Z = D[S[4:0]].",2,same,2,same,D,,,"BITC_(Dv,S)"
